Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-07-19,SBIN,EQ,291.0,291.5,294.0,291.4,293.95,293.3,292.68,9006728,1.03,96339,4501013,0.4997
2017-07-20,SBIN,EQ,293.3,293.0,294.25,290.05,291.3,290.95,292.03,6256500,2.0,58923,1999203,0.3195
2017-07-21,SBIN,EQ,290.95,291.05,292.2,288.25,290.8,290.65,290.4,7266604,3.0,65360,2441478,0.336
2017-07-24,SBIN,EQ,290.65,290.8,296.3,290.7,294.5,294.55,294.01,11195781,4.0,79924,4445768,0.3971
2017-07-25,SBIN,EQ,294.55,296.0,297.3,294.65,296.45,296.1,296.04,10846999,5.0,84621,5783936,0.5332
2017-07-26,SBIN,EQ,296.1,296.25,299.65,295.25,296.0,295.8,297.1,12527914,6.0,79825,6719216,0.5363
2017-07-27,SBIN,EQ,295.8,297.0,299.85,296.2,298.35,298.35,298.33,22286060,7.0,109577,14141524,0.6345000000000001
2017-07-28,SBIN,EQ,298.35,297.0,300.75,295.6,299.2,299.1,298.69,15766196,8.0,134054,8438356,0.5352
2017-07-31,SBIN,EQ,299.1,299.4,313.85,298.0,312.8,312.5,308.92,41547584,9.0,289262,18784321,0.4521
2017-08-01,SBIN,EQ,312.5,314.0,314.8,307.95,309.25,309.0,310.59,14888804,8.0,106658,3893094,0.2615
2017-08-02,SBIN,EQ,309.0,310.0,311.8,305.3,305.6,307.7,308.69,17005571,7.0,96187,6180435,0.36340000000000006
2017-08-03,SBIN,EQ,307.7,307.0,307.4,299.1,300.65,300.55,302.15,14459919,6.0,86793,5842517,0.40399999999999997
2017-08-04,SBIN,EQ,300.55,300.3,306.3,297.6,305.8,305.25,302.92,9615344,5.0,61191,2170911,0.2258
2017-08-07,SBIN,EQ,305.25,305.8,311.8,305.15,310.6,311.2,308.97,11420767,4.0,79330,3649061,0.3195
2017-08-08,SBIN,EQ,311.2,311.0,311.8,301.2,305.0,303.65,304.86,13578680,3.0,92640,3945009,0.29050000000000004
2017-08-09,SBIN,EQ,303.65,302.75,307.45,300.1,301.35,302.3,304.34,15852734,2.94,107791,6142755,0.3875
2017-08-10,SBIN,EQ,302.3,301.2,302.4,292.0,298.0,296.7,298.6,14519518,1.0,96490,4653027,0.32049999999999995
2017-08-11,SBIN,EQ,296.7,294.5,303.0,277.45,280.35,280.15,287.26,67652562,2.0,357211,17458719,0.2581
2017-08-14,SBIN,EQ,280.15,281.45,282.4,276.5,277.8,278.2,279.29,23773509,3.0,184667,10293684,0.433
2017-08-16,SBIN,EQ,278.2,279.05,283.9,274.2,283.2,283.1,279.1,21074533,4.0,171159,7035736,0.33390000000000003
2017-08-17,SBIN,EQ,283.1,283.8,284.7,280.0,280.8,280.85,281.85,12134114,5.0,96291,3952008,0.3257
