Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-03-26,INFY,EQ,1167.6,1166.9,1166.9,1144.0,1155.6,1155.25,1153.17,4465361,514931713880000.0,101964,3248748,0.7275
2018-03-27,INFY,EQ,1155.25,1160.0,1161.3,1150.1,1152.1,1154.0,1154.45,1901044,219465734575000.0,67860,1174247,0.6177
2018-03-28,INFY,EQ,1154.0,1150.75,1150.75,1126.25,1140.0,1131.8,1136.18,6279161,713425285065000.0,118878,4775433,0.7605
2018-04-02,INFY,EQ,1131.8,1141.0,1149.55,1121.3,1136.7,1137.15,1135.86,4036351,458471691960000.06,142078,2960225,0.7334
2018-04-03,INFY,EQ,1137.15,1134.7,1143.55,1128.1,1139.4,1140.45,1135.21,2038584,231422675744999.97,114034,1366638,0.6704000000000001
2018-04-04,INFY,EQ,1140.45,1144.0,1144.55,1120.0,1122.7,1124.2,1131.81,2406651,272387871294999.97,137029,1472105,0.6117
2018-04-05,INFY,EQ,1124.2,1139.55,1151.3,1129.1,1146.05,1147.55,1140.71,3881772,442799345970000.0,101745,2899162,0.7469
2018-04-06,INFY,EQ,1147.55,1143.0,1146.0,1122.1,1127.55,1127.0,1128.81,2968871,335128504315000.0,137277,1891236,0.637
2018-04-09,INFY,EQ,1127.0,1125.0,1125.8,1106.55,1111.45,1111.25,1113.12,3601441,400883207650000.0,171118,2529586,0.7023999999999999
2018-04-10,INFY,EQ,1111.25,1112.0,1124.5,1105.4,1114.65,1113.4,1115.77,4463029,497972869475000.0,144468,3520250,0.7888
2018-04-11,INFY,EQ,1113.4,1118.0,1131.5,1116.5,1124.5,1124.25,1124.78,4512787,507589157285000.06,102586,3296304,0.7304
2018-04-12,INFY,EQ,1124.25,1129.45,1172.75,1125.0,1164.05,1162.6,1157.71,8522183,986618914665000.0,216130,5624945,0.66
2018-04-13,INFY,EQ,1162.6,1174.0,1185.9,1150.25,1168.0,1171.45,1172.37,10613519,1244292499905000.0,180965,5370870,0.506
2018-04-16,INFY,EQ,1171.45,1102.0,1140.0,1102.0,1134.5,1133.2,1125.66,12372542,1392723619255000.0,201992,5012390,0.4051
2018-04-17,INFY,EQ,1133.2,1127.0,1127.4,1115.0,1124.65,1125.2,1121.63,5198970,583131799590000.0,203792,3086531,0.5937
2018-04-18,INFY,EQ,1125.2,1122.85,1134.75,1113.85,1125.95,1125.95,1124.27,5215190,586330578710000.0,121114,3220905,0.6176
2018-04-19,INFY,EQ,1125.95,1124.0,1139.8,1123.1,1133.4,1132.85,1132.61,4262771,482803590370000.0,119470,3277709,0.7689
2018-04-20,INFY,EQ,1132.85,1139.0,1193.7,1136.95,1179.65,1178.45,1171.78,12136346,1422107074195000.0,213680,7374221,0.6076
2018-04-23,INFY,EQ,1178.45,1168.0,1214.4,1155.25,1185.95,1187.7,1186.79,10915319,1295418038105000.0,190031,5762099,0.5279
2018-04-24,INFY,EQ,1187.7,1185.0,1196.4,1150.1,1154.25,1154.5,1168.64,4263108,498203981120000.0,87918,2175530,0.5103
2018-04-25,INFY,EQ,1154.5,1152.0,1171.0,1145.2,1155.95,1160.35,1160.85,5797089,672954626495000.0,122892,3549969,0.6124
2018-04-26,INFY,EQ,1160.35,1174.0,1181.65,1160.0,1177.05,1176.45,1172.76,5651042,662732294500000.0,120489,3710955,0.6567000000000001
2018-04-27,INFY,EQ,1176.45,1180.0,1191.6,1174.2,1184.65,1185.2,1183.9,3831685,453632175330000.0,103259,2521063,0.658
2018-04-30,INFY,EQ,1185.2,1181.7,1207.95,1180.65,1199.95,1199.5,1199.78,2755839,330640400025000.0,80599,1748528,0.6345000000000001
2018-05-02,INFY,EQ,1199.5,1198.9,1201.6,1181.0,1192.1,1197.05,1192.72,5147521,613957265250000.0,98610,3916029,0.7608
2018-05-03,INFY,EQ,1197.05,1197.25,1204.7,1176.1,1178.0,1182.55,1195.66,2666115,318776154630000.0,114003,1634945,0.6132
2018-05-04,INFY,EQ,1182.55,1185.0,1186.0,1155.0,1169.6,1173.1,1165.5,3011684,351012924885000.0,92619,1501133,0.49840000000000007
2018-05-07,INFY,EQ,1173.1,1181.25,1190.0,1175.5,1184.0,1183.0,1181.67,2319480,274085760455000.03,66189,1381557,0.5956
2018-05-08,INFY,EQ,1183.0,1177.9,1177.9,1161.05,1167.5,1165.55,1167.51,2859278,333824617935000.0,121067,1833756,0.6413
2018-05-09,INFY,EQ,1165.55,1167.5,1176.9,1163.0,1172.0,1170.7,1169.95,1891752,221326004680000.03,50914,1226653,0.6484000000000001
